"Loan.Amount","Loan.Term","Employment.Length","Home.Ownership","Annual.Income","Loan.Purpose","Address.State","Debt.To.Income.Ratio","No..Delinquencies.In.Last.2.Years","Earliest.Credit.Line.Opened","FICO.Credit.Score","No..Inquiries.In.Last.6.Months","Months.Since.Last.Delinquency","No..Of.Credit.Lines","No..Adverse.Public.Records","Total.Credit.Balance","Use.Of.Credit.Line","Total.Number.Of.Credit.Lines","Loan.Application.Description","No..Of.Public.Record.Bankruptcies","Class"
28000,"60 Months",0.5,"MORTGAGE",90000,"Debt Consolidation","CA",14.84,"None",36517.13194,725,1,0,8,"None",9817,42.7,22,0,"None","0"
22125,"60 Months",10,"OWN",57179,"Debt Consolidation","CA",18.69,"None",36445.47014,730,1,0,10,"None",13370,76.8,21,0,"None","0"
8400,"36 Months",0.5,"RENT",32758,"Debt Consolidation","CO",13.92,"One",34772.51667,665,1,10,12,"None",9713,63.5,18,196,"None","0"
17000,"36 Months",0.5,"MORTGAGE",120000,"Vacation","CA",2.19,"None",36117.43125,775,1,0,15,"None",50000,9.8,32,503,"None","0"
8000,"36 Months",10,"RENT",87000,"Debt Consolidation","CT",6.72,"None",39705.32014,670,2,0,8,"None",4483,44,8,64,"None","0"
16000,"60 Months",4,"MORTGAGE",80000,"Home Improvement","OR",14.64,"None",37011.33819,690,3,43,6,"None",4982,55.4,39,1000,"None","0"
14000,"60 Months",10,"MORTGAGE",105946,"Credit Card","FL",14.68,"None",35485.17778,670,1,0,8,"None",35871,85.6,33,0,"None","0"
15000,"36 Months",0.5,"RENT",44531.76,"Debt Consolidation","NY",20.78,"None",36668.29028,705,0,45,11,"None",14145,43.5,26,112,"None","0"
8000,"36 Months",10,"RENT",55000,"Debt Consolidation","VA",21.77,"None",35572.04444,720,0,0,9,"None",10089,37.5,37,0,"None","0"
8400,"36 Months",4,"RENT",189996,"Car","CA",1.05,"None",35953.36736,775,0,0,5,"None",2009,9.1,13,48,"None","0"
2000,"36 Months",8,"RENT",49029,"Wedding","KS",9.67,"None",35683.45486,675,0,0,4,"None",795,79.5,20,0,"None","0"
25000,"36 Months",10,"MORTGAGE",135000,"Moving","IL",20.88,"None",30000,680,0,0,18,"One",13018,68.4,39,669,"One","0"
7200,"36 Months",1,"RENT",45000,"Debt Consolidation","CA",6.8,"None",37216.09167,720,1,0,9,"None",9500,31.1,13,228,"None","0"
12000,"60 Months",0.5,"RENT",45000,"Debt Consolidation","OH",23.23,"None",36481.33611,705,1,0,7,"None",7332,79.7,13,553,"None","0"
21000,"60 Months",1,"MORTGAGE",59750,"Home Improvement","WI",12.31,"None",34017.4,745,2,0,14,"None",18513,14.2,41,0,"None","0"
15000,"36 Months",9,"MORTGAGE",2e+05,"Debt Consolidation","IL",2.84,"None",32519.44444,770,2,0,7,"None",24240,41.1,28,0,"None","0"
7000,"36 Months",2,"RENT",27600,"Debt Consolidation","MN",17.78,"None",37641.20139,715,2,0,12,"None",16326,48.6,21,36,"None","0"
16000,"36 Months",10,"MORTGAGE",55152,"Debt Consolidation","UT",22.61,"None",35153.52986,715,2,68,12,"None",12221,10.7,28,312,"None","0"
6600,"36 Months",0.5,"MORTGAGE",30000,"Debt Consolidation","TX",23.16,"None",39075.41806,690,1,0,6,"None",2864,54,8,133,"None","0"
8400,"36 Months",1,"MORTGAGE",43200,"Debt Consolidation","AL",21.39,"One",38293.29931,660,1,10,10,"None",3694,55.1,19,0,"None","0"
35000,"36 Months",10,"MORTGAGE",137000,"Debt Consolidation","IL",15.85,"None",32902.24792,700,1,0,17,"None",14730,49.8,61,0,"None","0"
2500,"60 Months",3,"RENT",12000,"Debt Consolidation","VA",8.3,"None",37513.27708,730,2,0,3,"None",194,24.2,14,0,"None","0"
24000,"36 Months",7,"RENT",43000,"Debt Consolidation","WA",13.7,"None",30616.5,720,0,0,4,"None",12606,88.2,17,452,"None","0"
3500,"36 Months",7,"MORTGAGE",49000,"Major Purchase","TX",20.57,"None",37980.42778,720,2,0,7,"None",119,3.6,20,130,"None","0"
33000,"36 Months",2,"RENT",1e+05,"Debt Consolidation","NH",15.94,"None",36120.39514,700,0,0,13,"None",37741,55.4,30,0,"None","0"
10000,"36 Months",10,"MORTGAGE",38000,"Debt Consolidation","NY",19.42,"None",36757.50556,715,3,0,10,"None",19626,82.1,36,0,"None","0"
10000,"36 Months",0.5,"RENT",48000,"Debt Consolidation","CA",2.65,"None",35265.48819,740,0,0,4,"None",6512,16.4,4,1000,"None","0"
2800,"36 Months",10,"RENT",50000,"House","RI",10.66,"None",36253.125,750,3,0,9,"None",2556,22.8,22,0,"None","0"
12800,"36 Months",5,"RENT",40000,"Debt Consolidation","TX",15.24,"None",38655.45764,670,1,0,8,"None",15864,62.5,9,0,"None","0"
6850,"36 Months",2,"MORTGAGE",1e+05,"Home Improvement","VA",11.62,"None",36770.30556,685,0,31,11,"None",10867,51.1,23,123,"None","0"
4950,"36 Months",10,"MORTGAGE",47644,"Credit Card","FL",21.53,"None",34958.50694,685,1,0,21,"None",28109,67.4,43,120,"None","0"
8000,"36 Months",9,"MORTGAGE",58000,"Home Improvement","NV",12.5,"None",35463.15694,685,0,47,29,"None",1663,64,62,0,"None","0"
11000,"36 Months",6,"MORTGAGE",52704,"Debt Consolidation","OR",8.95,"None",30740.41528,740,1,69,10,"None",25212,46.6,33,706,"None","0"
14000,"36 Months",3,"MORTGAGE",72000,"Debt Consolidation","CO",22.48,"None",35545.37292,715,1,0,10,"None",26680,76.9,21,196,"None","0"
19200,"60 Months",10,"MORTGAGE",75000,"Credit Card","OH",20.27,"None",36446.11389,680,2,0,11,"One",14899,77.6,46,555,"One","0"
13050,"36 Months",10,"RENT",135000,"Major Purchase","VA",3.29,"None",34482.45972,750,0,0,7,"None",50000,30,35,0,"None","0"
7500,"36 Months",10,"MORTGAGE",33000,"Debt Consolidation","KY",21.09,"None",33667.25764,820,0,0,16,"None",1157,1.8,24,109,"None","0"
1400,"36 Months",1,"RENT",125000,"Wedding","CA",13.74,"None",36914.44375,675,3,0,14,"None",8849,56,42,137,"None","0"
6850,"36 Months",1,"RENT",60000,"Other","TX",13.94,"None",34232.21736,795,0,0,6,"None",800,2,19,181,"None","0"
5000,"36 Months",1,"RENT",33000,"Major Purchase","TX",1.42,"None",35734.42431,725,1,31,4,"None",245,30.6,16,1,"None","0"
12000,"36 Months",0.5,"MORTGAGE",42000,"Credit Card","IL",9.74,"None",35914.18611,770,1,0,16,"None",11867,12.7,40,401,"None","0"
10000,"36 Months",9,"MORTGAGE",72000,"Debt Consolidation","AL",14.93,"None",36095.48542,680,0,0,9,"None",19302,95.1,17,461,"None","0"
10000,"36 Months",0.5,"RENT",94000,"Debt Consolidation","NY",7.44,"None",36146.35833,725,0,0,17,"None",29884,43.6,27,155,"None","0"
10000,"36 Months",10,"MORTGAGE",79000,"Medical","TX",5.18,"None",36110.06389,775,1,0,12,"None",44822,15.5,46,279,"None","0"
12000,"36 Months",0.5,"RENT",90000,"Credit Card","CA",10.55,"None",30000,765,3,0,8,"None",2887,60.1,32,365,"None","0"
4000,"36 Months",1,"RENT",30900,"Debt Consolidation","FL",22.83,"None",37105.16667,675,2,0,9,"One",2876,61.2,14,609,"One","0"
7000,"36 Months",0.5,"OWN",32400,"Debt Consolidation","CA",0.96,"None",37364.45069,775,0,0,4,"None",865,5.1,10,0,"None","0"
6000,"60 Months",8,"MORTGAGE",62000,"Debt Consolidation","OH",10.43,"Two",35162.49583,690,1,11,10,"None",5872,13.4,25,0,"None","0"
8000,"36 Months",0.5,"OWN",70000,"Car","NY",7.92,"None",31425.27222,780,2,0,12,"None",5236,8.7,27,1,"None","0"
14000,"36 Months",2,"RENT",55000,"Debt Consolidation","NY",6.2,"None",37817.29097,725,3,0,10,"None",12875,26.6,14,617,"None","0"
16000,"36 Months",10,"MORTGAGE",53684,"Debt Consolidation","OH",12.94,"One",35563.25556,675,2,19,7,"One",10728,91.7,25,737,"One","0"
6500,"36 Months",8,"RENT",51012,"Debt Consolidation","CA",13.81,"None",36698.33681,670,0,0,15,"None",29212,63.1,25,91,"None","0"
5000,"36 Months",9,"OWN",70000,"Major Purchase","CA",2.35,"None",32035.17292,745,1,33,11,"None",71,0.3,22,503,"None","0"
10000,"36 Months",6,"RENT",49000,"Debt Consolidation","TX",15.89,"None",38652.37014,665,0,0,10,"None",10232,70.6,19,764,"None","0"
7000,"36 Months",10,"MORTGAGE",75500,"Credit Card","NJ",9.1,"None",34429.42222,690,0,0,11,"None",21040,64.3,28,0,"None","0"
8000,"36 Months",1,"MORTGAGE",83500,"Small Business","CA",15.41,"None",36183.24028,760,1,72,11,"None",1426,11.9,52,0,"None","0"
13750,"36 Months",10,"MORTGAGE",56000,"Debt Consolidation","AZ",24.04,"None",35655.44792,665,1,0,8,"None",17783,98.8,29,733,"None","0"
5275,"36 Months",9,"MORTGAGE",85000,"Other","NC",2.64,"None",30137.30278,780,0,0,7,"None",5760,16,10,18,"None","0"
6375,"36 Months",4,"RENT",44000,"Debt Consolidation","GA",4.8,"None",36840.20972,730,0,0,7,"None",6324,58,11,0,"None","0"
7700,"36 Months",0.5,"MORTGAGE",80000,"Credit Card","TX",24.5,"None",30505.50347,735,1,0,9,"None",13734,75.5,27,129,"None","0"
13000,"36 Months",9,"MORTGAGE",55000,"Debt Consolidation","MI",13.9,"None",35913.16042,680,1,64,7,"None",20437,73.5,23,140,"None","0"
6000,"36 Months",10,"OTHER",69996,"Debt Consolidation","FL",17.28,"None",35281.09306,685,2,0,10,"None",33711,81.6,25,60,"None","0"
8000,"36 Months",0.5,"RENT",34000,"Small Business","FL",16.06,"None",37850.44722,740,0,32,5,"None",756,2.6,8,112,"None","0"
1000,"36 Months",2,"RENT",19200,"Other","IL",1.25,"None",37195.20417,690,1,0,4,"None",379,15.8,19,126,"None","0"
3300,"36 Months",5,"OWN",15600,"Debt Consolidation","MA",21.46,"None",32518.54097,775,0,49,14,"None",3071,16.5,28,0,"None","0"
20000,"36 Months",1,"RENT",180000,"Credit Card","CA",22.93,"None",33273.49514,695,0,0,18,"None",50000,89.1,33,286,"None","0"
